user_id,date,selection,city,neighborhood,gender,student,children,vehicle,family_status,age,category_name,choices,open notes,choise_1,choise_2,choise_3,choise_4,choise_5,choise_6,choise_7,choise_8,choise_9,choise_10,,,,,,,,,,
1615,13022019  14:58:52,בית,באר שבע,א,נקבה,כן,יש,יש,married,33,בחירה חופשית,"חנות ירקות ופירות ,,",,חנות ירקות ופירות ,,,,,,,,,,,,,,,,,,,
1912,13022019  18:54:04,בית,באר שבע,א,זכר,לא,יש,יש,married,32,מסעדות ובתי קפה,"בית קפה שכונתי שהוא לא רשת,מיצים טבעיים,בר סלטים,מסעדה טבעונית\ צמחונית",,בית קפה שכונתי שהוא לא רשת,מיצים טבעיים,בר סלטים,מסעדה טבעונית, צמחונית,,,,,,,,,,,,,,,
1912,13022019  18:54:31,בית,באר שבע,א,זכר,לא,יש,יש,married,32,מצרכים ומוצרים,"חנות ירקות ופירות ,חנות טבע",,חנות ירקות ופירות ,חנות טבע,,,,,,,,,,,,,,,,,,
1923,13022019  19:02:18,בית,באר שבע,א,זכר,לא,יש,יש,married,32,מסעדות ובתי קפה,"בית קפה שכונתי שהוא לא רשת,בר סלטים",,בית קפה שכונתי שהוא לא רשת,בר סלטים,,,,,,,,,,,,,,,,,,
1923,13022019  19:02:37,בית,באר שבע,א,זכר,לא,יש,יש,married,32,מצרכים ומוצרים,"חנות ירקות ופירות ,סופרמרקט ,חנות טבע",,חנות ירקות ופירות ,סופרמרקט ,חנות טבע,,,,,,,,,,,,,,,,,
10,11022019  21:45:27,עבודה,באר שבע,א,,,,,,,קופת חולים ופארם,בית מרקחת\ חנות פארם,,בית מרקחת, חנות פארם,,,,,,,,,,,,,,,,,,
1334,13022019  11:30:41,עבודה,באר שבע,א,זכר,לא,יש,יש,married,43,מסעדות ובתי קפה,"בית קפה שכונתי שהוא לא רשת,פלאפל,מסעדת אוכל ביתי ,מאפיה\ קונדיטוריה,אוכל מוכן וקייטרינג",,בית קפה שכונתי שהוא לא רשת,פלאפל,מסעדת אוכל ביתי ,מאפיה, קונדיטוריה,אוכל מוכן וקייטרינג,,,,,,,,,,,,,,
1334,13022019  11:31:06,עבודה,באר שבע,א,זכר,לא,יש,יש,married,43,מצרכים ומוצרים,מכולת,,מכולת,,,,,,,,,,,,,,,,,,,
1172,13022019  10:10:10,בית,באר שבע,א,זכר,לא,אין,יש,single,32,מסעדות ובתי קפה,"המבורגריה,בית קפה שכונתי שהוא לא רשת,פלאפל,חומוסיה,גלידריה,שיפודיה\ סטקייה ",,המבורגריה,בית קפה שכונתי שהוא לא רשת,פלאפל,חומוסיה,גלידריה,שיפודיה, סטקייה ,,,,,,,,,,,,,
1172,13022019  10:10:35,בית,באר שבע,א,זכר,לא,אין,יש,single,32,דברים לבית,"משתלה,טמבוריה\ עשה זאת בעצמך,סטוק",,משתלה,טמבוריה, עשה זאת בעצמך,סטוק,,,,,,,,,,,,,,,,
1172,13022019  10:11:02,בית,באר שבע,א,זכר,לא,אין,יש,single,32,מצרכים ומוצרים,"קצב \ קצבייה,מכולת,סופרמרקט ,פיצוחים,חנות טבע",,קצב , קצבייה,מכולת,סופרמרקט ,פיצוחים,חנות טבע,,,,,,,,,,,,,,
1172,13022019  10:11:17,בית,באר שבע,א,זכר,לא,אין,יש,single,32,שירותים מקצועיים,"דואר,בנק\ כספומט",,דואר,בנק, כספומט,,,,,,,,,,,,,,,,,
633,13022019  07:31:51,עבודה,באר שבע,א. תעשיה,זכר,לא,יש,יש,married,32,"תחביבים, ספורט ופנאי",פאב\ בר,,פאב, בר,,,,,,,,,,,,,,,,,,
